imagen,carpeta,probabilidad_sano,prediccion,clase_predicha,etiqueta_real,clase_real
good_quality_467.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_862.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_802.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_844.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_44.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_599.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_667.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_516.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_2.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_39.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_822.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_731.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_191.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_649.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_372.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_540.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_701.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_825.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_377.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_681.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_671.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_1064.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_556.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_1095.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_498.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_139.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_236.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_799.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_458.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_859.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_819.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_111.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_266.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_171.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_755.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_914.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_374.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_527.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_693.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_912.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_578.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_1066.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_836.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_892.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_271.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_738.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_946.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_124.jpg,good_quality,0.953125,1,Sano,1,Sano
good_quality_328.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_431.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_1108.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_1083.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_818.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_26.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_863.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_147.jpg,good_quality,0.96875,1,Sano,1,Sano
good_quality_220.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_126.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_113.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_845.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_548.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_265.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_141.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_245.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_767.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_909.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_497.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_575.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_78.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_183.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_180.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_724.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_827.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_41.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_617.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_988.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_443.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_737.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_14.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_336.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_1065.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_160.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_605.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_523.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_355.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_748.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_433.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_370.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_91.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_1112.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_90.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_505.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_570.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_323.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_721.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_42.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_1085.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_744.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_962.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_43.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_148.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_551.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_596.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_815.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_760.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_75.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_163.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_683.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_768.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_71.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_470.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_63.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_569.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_399.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_835.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_652.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_1074.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_156.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_752.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_1038.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_49.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_314.jpg,good_quality,0.99609375,1,Sano,1,Sano
good_quality_118.jpg,good_quality,0.99609375,1,Sano,1,Sano
